title,main_info1,main_info2,main_info3
Зеленая миля,"The Green Mile, 1999, 189 мин.",США • драма  Режиссёр: Фрэнк Дарабонт,"В ролях: Том Хэнкс, Дэвид Морс"
Побег из Шоушенка,"The Shawshank Redemption, 1994, 142 мин.",США • драма  Режиссёр: Фрэнк Дарабонт,"В ролях: Тим Роббинс, Морган Фриман"
Форрест Гамп,"Forrest Gump, 1994, 142 мин.",США • драма  Режиссёр: Роберт Земекис,"В ролях: Том Хэнкс, Робин Райт"
1+1,"Intouchables, 2011, 112 мин.",Франция • драма  Режиссёр: Оливье Накаш,"В ролях: Франсуа Клюзе, Омар Си"
Список Шиндлера,"Schindler's List, 1993, 195 мин.",США • драма  Режиссёр: Стивен Спилберг,"В ролях: Лиам Нисон, Бен Кингсли"
Интерстеллар,"Interstellar, 2014, 169 мин.",США • фантастика  Режиссёр: Кристофер Нолан,"В ролях: Мэттью Макконахи, Энн Хэтэуэй"
Властелин колец: Возвращение короля,"The Lord of the Rings: The Return of the King, 2003, 201 мин.",Новая Зеландия • фэнтези  Режиссёр: Питер Джексон,"В ролях: Элайджа Вуд, Вигго Мортенсен"
Бойцовский клуб,"Fight Club, 1999, 139 мин.",США • триллер  Режиссёр: Дэвид Финчер,"В ролях: Эдвард Нортон, Брэд Питт"
Унесённые призраками,"Sen to Chihiro no kamikakushi, 2001, 125 мин.",Япония • аниме  Режиссёр: Хаяо Миядзаки,"В ролях: Руми Хиираги, Мию Ирино"
Тайна Коко,"Coco, 2017, 105 мин.",США • мультфильм  Режиссёр: Ли Анкрич,"В ролях: Энтони Гонсалес, Гаэль Гарсиа Берналь"
Криминальное чтиво,"Pulp Fiction, 1994, 154 мин.",США • криминал  Режиссёр: Квентин Тарантино,"В ролях: Джон Траволта, Сэмюэл Л. Джексон"
Иван Васильевич меняет профессию,"1973, 88 мин.",СССР • комедия  Режиссёр: Леонид Гайдай,"В ролях: Александр Демьяненко, Юрий Яковлев"
Властелин колец: Две крепости,"The Lord of the Rings: The Two Towers, 2002, 179 мин.",Новая Зеландия • фэнтези  Режиссёр: Питер Джексон,"В ролях: Элайджа Вуд, Иэн Маккеллен"
Властелин колец: Братство Кольца,"The Lord of the Rings: The Fellowship of the Ring, 2001, 178 мин.",Новая Зеландия • фэнтези  Режиссёр: Питер Джексон,"В ролях: Элайджа Вуд, Иэн Маккеллен"
Шрэк,"Shrek, 2001, 90 мин.",США • мультфильм  Режиссёр: Эндрю Адамсон,"В ролях: Майк Майерс, Эдди Мерфи"
Приключения Шерлока Холмса и доктора Ватсона: Собака Баскервилей,"1981, 154 мин.",СССР • детектив  Режиссёр: Игорь Масленников,"В ролях: Василий Ливанов, Виталий Соломин"
Шерлок Холмс и доктор Ватсон: Знакомство,"1979, 68 мин.",СССР • криминал  Режиссёр: Игорь Масленников,"В ролях: Василий Ливанов, Виталий Соломин"
Король Лев,"The Lion King, 1994, 88 мин.",США • мультфильм  Режиссёр: Роджер Аллерс,"В ролях: Мэттью Бродерик, Джереми Айронс"
Достучаться до небес,"Knockin' on Heaven's Door, 1997, 87 мин.",Германия • драма  Режиссёр: Томас Ян,"В ролях: Тиль Швайгер, Ян Йозеф Лиферс"
Остров проклятых,"Shutter Island, 2009, 138 мин.",США • триллер  Режиссёр: Мартин Скорсезе,"В ролях: Леонардо ДиКаприо, Марк Руффало"
Ходячий замок,"Howl no Ugoku Shiro, 2004, 119 мин.",Япония • аниме  Режиссёр: Хаяо Миядзаки,"В ролях: Тиэко Байсё, Такуя Кимура"
Терминатор 2: Судный день,"Terminator 2: Judgment Day, 1991, 137 мин.",США • фантастика  Режиссёр: Джеймс Кэмерон,"В ролях: Арнольд Шварценеггер, Линда Хэмилтон"
Джентльмены удачи,"1971, 84 мин.",СССР • комедия  Режиссёр: Александр Серый,"В ролях: Евгений Леонов, Георгий Вицин"
Москва слезам не верит,"1979, 150 мин.",СССР • мелодрама  Режиссёр: Владимир Меньшов,"В ролях: Вера Алентова, Ирина Муравьёва"
Назад в будущее,"Back to the Future, 1985, 116 мин.",США • фантастика  Режиссёр: Роберт Земекис,"В ролях: Майкл Дж. Фокс, Кристофер Ллойд"
Операция «Ы» и другие приключения Шурика,"1965, 95 мин.",СССР • комедия  Режиссёр: Леонид Гайдай,"В ролях: Александр Демьяненко, Наталья Селезнёва"
Леон,"Léon, 1994, 133 мин.",Франция • боевик  Режиссёр: Люк Бессон,"В ролях: Жан Рено, Натали Портман"
...А зори здесь тихие,"1972, 160 мин.",СССР • драма  Режиссёр: Станислав Ростоцкий,"В ролях: Елена Драпеко, Екатерина Маркова"
Начало,"Inception, 2010, 148 мин.",США • фантастика  Режиссёр: Кристофер Нолан,"В ролях: Леонардо ДиКаприо, Джозеф Гордон-Левитт"
Девчата,"1962, 92 мин.",СССР • мелодрама  Режиссёр: Юрий Чулюкин,"В ролях: Надежда Румянцева, Николай Рыбников"
Гарри Поттер и узник Азкабана,"Harry Potter and the Prisoner of Azkaban, 2004, 142 мин.",Великобритания • фэнтези  Режиссёр: Альфонсо Куарон,"В ролях: Дэниэл Рэдклифф, Руперт Гринт"
Темный рыцарь,"The Dark Knight, 2008, 152 мин.",США • фантастика  Режиссёр: Кристофер Нолан,"В ролях: Кристиан Бэйл, Хит Леджер"
Джентльмены,"The Gentlemen, 2019, 113 мин.",США • криминал  Режиссёр: Гай Ричи,"В ролях: Мэттью Макконахи, Чарли Ханнэм"
ВАЛЛ·И,"WALL·E, 2008, 98 мин.",США • мультфильм  Режиссёр: Эндрю Стэнтон,"В ролях: Бен Бертт, Элисса Найт"
Они сражались за Родину,"1975, 160 мин.",СССР • драма  Режиссёр: Сергей Бондарчук,"В ролях: Василий Шукшин, Вячеслав Тихонов"
Зеленая книга,"Green Book, 2018, 130 мин.",США • биография  Режиссёр: Питер Фаррелли,"В ролях: Вигго Мортенсен, Махершала Али"
"Поймай меня, если сможешь","Catch Me If You Can, 2002, 141 мин.",США • криминал  Режиссёр: Стивен Спилберг,"В ролях: Леонардо ДиКаприо, Том Хэнкс"
Гарри Поттер и философский камень,"Harry Potter and the Sorcerer's Stone, 2001, 152 мин.",Великобритания • фэнтези  Режиссёр: Крис Коламбус,"В ролях: Дэниэл Рэдклифф, Руперт Гринт"
Клаус,"Klaus, 2019, 96 мин.",Испания • мультфильм  Режиссёр: Серхио Паблос,"В ролях: Джейсон Шварцман, Дж.К. Симмонс"
Как приручить дракона,"How to Train Your Dragon, 2010, 98 мин.",США • мультфильм  Режиссёр: Дин ДеБлуа,"В ролях: Джей Барушель, Джерард Батлер"
Собачье сердце,"1988, 136 мин.",СССР • драма  Режиссёр: Владимир Бортко,"В ролях: Евгений Евстигнеев, Владимир Толоконников"
Бриллиантовая рука,"1968, 94 мин.",СССР • комедия  Режиссёр: Леонид Гайдай,"В ролях: Юрий Никулин, Андрей Миронов"
Шрэк 2,"Shrek 2, 2004, 93 мин.",США • мультфильм  Режиссёр: Эндрю Адамсон,"В ролях: Майк Майерс, Эдди Мерфи"
Хатико: Самый верный друг,"Hachi: A Dog's Tale, 2008, 89 мин.",США • драма  Режиссёр: Лассе Халльстрём,"В ролях: Ричард Гир, Джоан Аллен"
Большой куш,"Snatch, 2000, 104 мин.",Великобритания • криминал  Режиссёр: Гай Ричи,"В ролях: Джейсон Стэйтем, Стивен Грэм"
"Кавказская пленница, или Новые приключения Шурика","1966, 82 мин.",СССР • комедия  Режиссёр: Леонид Гайдай,"В ролях: Александр Демьяненко, Наталья Варлей"
Гарри Поттер и Дары Смерти: Часть II,"Harry Potter and the Deathly Hallows - Part 2, 2011, 130 мин.",Великобритания • фэнтези  Режиссёр: Дэвид Йейтс,"В ролях: Дэниэл Рэдклифф, Руперт Гринт"
Пираты Карибского моря: Проклятие Черной жемчужины,"Pirates of the Caribbean: The Curse of the Black Pearl, 2003, 143 мин.",США • фэнтези  Режиссёр: Гор Вербински,"В ролях: Джонни Депп, Джеффри Раш"
Брат,"1997, 100 мин.",Россия • драма  Режиссёр: Алексей Балабанов,"В ролях: Сергей Бодров мл., Виктор Сухоруков"
Гарри Поттер и Тайная комната,"Harry Potter and the Chamber of Secrets, 2002, 161 мин.",Великобритания • фэнтези  Режиссёр: Крис Коламбус,"В ролях: Дэниэл Рэдклифф, Руперт Гринт"
Офицеры,"1971, 91 мин.",СССР • драма  Режиссёр: Владимир Роговой,"В ролях: Георгий Юматов, Василий Лановой"
В бой идут одни «старики»,"1973, 87 мин.",СССР • военный  Режиссёр: Леонид Быков,"В ролях: Леонид Быков, Сергей Подгорный"
Один дома,"Home Alone, 1990, 103 мин.",США • комедия  Режиссёр: Крис Коламбус,"В ролях: Маколей Калкин, Джо Пеши"
Титаник,"Titanic, 1997, 194 мин.",США • мелодрама  Режиссёр: Джеймс Кэмерон,"В ролях: Леонардо ДиКаприо, Кейт Уинслет"
Гладиатор,"Gladiator, 2000, 155 мин.",США • история  Режиссёр: Ридли Скотт,"В ролях: Рассел Кроу, Хоакин Феникс"
Брат 2,"2000, 127 мин.",Россия • боевик  Режиссёр: Алексей Балабанов,"В ролях: Сергей Бодров мл., Виктор Сухоруков"
